transcript	chr	strand	start	end	exon	gene
NM_148964.2	chr1	-	206010139	206023791	8	CTSE
NM_148965.1	chr1	-	6461433	6466107	10	TNFRSF25
NM_148966.1	chr1	-	6461433	6466107	9	TNFRSF25
NM_148967.1	chr1	-	6461433	6466107	9	TNFRSF25
NM_148970.1	chr1	-	6461433	6466107	5	TNFRSF25
NM_152228.2	chr1	+	1331345	1334464	6	TAS1R3
NM_152232.2	chr1	-	18839598	18859660	6	TAS1R2
NM_152238.3	chr1	+	98661731	98760131	8	SNX7
NM_152263.3	chr1	-	154167936	154192018	10	TPM3
NM_152265.4	chr1	+	52059847	52086758	6	BTF3L4
NM_152268.3	chr1	-	54757733	54759161	2	PARS2
NM_152280.4	chr1	+	155859761	155881508	4	SYT11
NM_152281.2	chr1	+	170532148	170552462	5	GORAB
NM_152290.3	chr1	+	12746430	12760951	4	C1orf158
NM_152298.3	chr1	+	45584146	45618141	14	NASP
NM_152304.1	chr1	+	28593799	28594117	2	RAB42
NM_152365.2	chr1	-	26950068	26952380	4	KDF1
NM_152366.4	chr1	+	161098535	161100224	4	KLHDC9
NM_152367.2	chr1	+	116112615	116133365	7	MAB21L3
NM_152369.4	chr1	+	94824501	94894922	14	SLC44A3
NM_152371.3	chr1	+	2586795	2589427	7	FAM213B
NM_152372.3	chr1	-	24057363	24108636	37	MYOM3
NM_152373.3	chr1	+	40533166	40547460	5	ZNF684
NM_152374.1	chr1	-	35715631	35716321	2	C1orf216
NM_152375.2	chr1	+	18480981	18483315	1	KLHDC7A
NM_152376.4	chr1	+	20190561	20191404	2	UBXN10
NM_152377.2	chr1	-	59990672	60072643	12	C1orf87
NM_152379.3	chr1	-	231224278	231241141	7	C1orf131
NM_152380.2	chr1	-	118884731	118931719	8	TBX15
NM_152485.3	chr1	-	209782824	209783634	2	C1orf74
NM_152486.2	chr1	+	925941	944153	14	SAMD11
NM_152487.2	chr1	+	95143901	95191868	7	TMEM56
NM_152489.1	chr1	+	64204050	64244133	9	UBE2U
NM_152490.4	chr1	-	235450205	235504252	12	B3GALNT2
NM_152491.4	chr1	-	205828619	205850072	13	PM20D1
NM_152492.2	chr1	+	3752481	3771523	12	CCDC27
NM_152493.2	chr1	+	33270574	33299046	9	ZNF362
NM_152494.3	chr1	+	155034036	155050868	17	DCST1
NM_152495.1	chr1	+	224617174	224739356	6	CNIH3
NM_152496.2	chr1	+	37795775	37800203	2	MANEAL
NM_152498.3	chr1	+	43172753	43210084	11	CFAP57
NM_152499.2	chr1	+	43991878	43996160	9	CCDC24
NM_152501.4	chr1	+	158936910	158973766	9	PYHIN1
NM_152607.2	chr1	+	54806116	54841676	11	LEXM
NM_152608.3	chr1	-	225985301	225999312	7	SDE2
NM_152609.2	chr1	+	246591562	246665905	11	CNST
NM_152610.2	chr1	+	223393475	223395347	1	CCDC185
NM_152660.2	chr1	+	27726080	27760581	9	FAM76A
NM_152663.4	chr1	+	178776764	178916359	20	RALGPS2
NM_152665.2	chr1	+	66754658	66777454	5	TCTEX1D1
NM_152666.2	chr1	-	242089853	242524276	11	PLD5
NM_152696.3	chr1	+	113940383	113972038	15	HIPK1
NM_152697.4	chr1	-	75206606	75541447	24	SLC44A5
NM_152763.4	chr1	-	108816170	108852664	16	AKNAD1
NM_152835.4	chr1	+	26114308	26122577	3	PDIK1L
NM_152890.5	chr1	-	85730545	86156396	60	COL24A1
NM_152900.2	chr1	+	113391033	113682261	21	MAGI3
NM_152902.4	chr1	+	168179077	168200046	7	TIPRL
NM_152996.2	chr1	+	76074866	76628806	5	ST6GALNAC3
NM_153035.2	chr1	+	54054422	54096473	5	TCEANC2
NM_153212.2	chr1	+	34761254	34762055	2	GJB4
NM_153213.3	chr1	-	16198586	16209054	16	ARHGEF19
NM_153254.2	chr1	+	1180053	1185142	9	TTLL10
NM_153259.3	chr1	-	84926684	84996872	14	MCOLN2
NM_153262.3	chr1	+	209938264	210161042	8	SYT14
NM_153274.2	chr1	-	44784209	44787705	9	BEST4
NM_153326.2	chr1	+	45561794	45569956	9	AKR1A1
NM_153339.1	chr1	+	1308643	1311379	8	PUSL1
NM_153340.4	chr1	+	109483953	109492600	11	ATXN7L2
NM_153341.3	chr1	-	32936805	32964685	9	RNF19B
NM_153606.3	chr1	+	212624877	212626662	1	FAM71A
NM_153649.3	chr1	-	154157638	154183119	8	TPM3
NM_153703.4	chr1	+	53062219	53082161	11	PODN
NM_153713.2	chr1	-	145936309	145957927	6	LIX1L
NM_153741.1	chr1	-	155139961	155140240	2	DPM3
NM_153742.4	chr1	+	70411415	70439127	11	CTH
NM_153747.1	chr1	-	172441728	172442622	2	PIGC
NM_153756.2	chr1	-	32864293	32870746	6	FNDC5
NM_153758.2	chr1	+	206798894	206842622	6	IL19
NM_153812.2	chr1	+	6614066	6621637	4	PHF13
NM_153818.1	chr1	-	2405765	2412502	6	PEX10
NM_153826.3	chr1	+	207752212	207793591	12	CD46
NM_153832.2	chr1	-	168085530	168104850	8	GPR161
NM_156039.3	chr1	-	36466356	36479496	17	CSF3R
NM_170692.2	chr1	+	178094492	178473239	18	RASAL2
NM_170706.3	chr1	-	183252640	183304739	11	NMNAT2
NM_170707.3	chr1	+	156114918	156139106	12	LMNA
NM_170708.3	chr1	+	156114918	156139106	11	LMNA
NM_170725.2	chr1	+	248913862	248918363	3	PGBD2
NM_170726.2	chr1	-	18872844	18902523	16	ALDH4A1
NM_170743.3	chr1	-	24157129	24187248	7	IFNLR1
NM_170782.2	chr1	-	154707975	154859712	8	KCNN3
NM_172000.3	chr1	-	182399663	182400485	1	TEDDM1
NM_172071.3	chr1	-	173938720	173992985	19	RC3H1
NM_172130.2	chr1	+	6040568	6098574	15	KCNAB2
NM_172163.2	chr1	+	40784093	40838523	13	KCNQ4
NM_172198.2	chr1	-	111776076	111982726	7	KCND3
NM_172210.2	chr1	+	109911023	109925189	9	CSF1
NM_172211.3	chr1	+	109911023	109925189	9	CSF1
NM_172212.2	chr1	+	109911023	109925189	9	CSF1
NM_172225.1	chr1	+	46507010	46512494	4	DMBX1
NM_172313.2	chr1	-	36466095	36479496	18	CSF3R
NM_172350.2	chr1	+	207752212	207793595	10	CD46
NM_172351.2	chr1	+	207752212	207790304	13	CD46
NM_172352.2	chr1	+	207752212	207790304	12	CD46
NM_172353.2	chr1	+	207752212	207793591	11	CD46
NM_172359.2	chr1	+	207752212	207793591	13	CD46
NM_172361.2	chr1	+	207752212	207793591	10	CD46
NM_172362.2	chr1	-	210683280	211133945	11	KCNH1
NM_172369.3	chr1	+	22644023	22647783	3	C1QC
NM_173064.2	chr1	-	24157129	24187248	7	IFNLR1
NM_173065.2	chr1	-	24157826	24187248	6	IFNLR1
NM_173080.2	chr1	+	152971890	152972130	2	SPRR4
NM_173083.3	chr1	-	226232500	226309187	15	LIN9
NM_173156.2	chr1	+	183472620	183551931	22	SMG7
NM_173452.1	chr1	-	27369235	27374818	7	FCN3
NM_173484.3	chr1	+	44118907	44130756	4	KLF17
NM_173508.3	chr1	+	233905077	234323243	8	SLC35F3
NM_173509.2	chr1	+	179813097	179814189	5	FAM163A
NM_173533.3	chr1	+	179592615	179690943	17	TDRD5
NM_173567.4	chr1	+	92030079	92063286	7	EPHX4
NM_173574.3	chr1	-	26361650	26368571	6	ZNF683
NM_173638.4	chr1	-	144423012	144440003	19	NBPF15
NM_173641.2	chr1	-	37761366	37765066	3	EPHA10
NM_173642.3	chr1	+	42380934	42414974	5	RIMKLA
NM_173807.4	chr1	+	244461429	244635497	21	C1orf101
NM_173808.2	chr1	-	71407445	72282494	7	NEGR1
NM_173852.3	chr1	-	155169439	155173302	5	KRTCAP2
NM_173854.5	chr1	-	205791532	205810441	11	SLC41A1
NM_173858.1	chr1	+	247256071	247257145	1	VN1R5
NM_174858.2	chr1	+	77282313	77558670	14	AK5
NM_174896.3	chr1	+	111476028	111478123	6	C1orf162
NM_174936.3	chr1	+	55039837	55063584	12	PCSK9
NM_174963.3	chr1	+	43736262	43930221	13	ST3GAL3
NM_174964.2	chr1	+	43736262	43930221	12	ST3GAL3
NM_174965.2	chr1	+	43736262	43930202	7	ST3GAL3
NM_174966.2	chr1	+	43736262	43930221	10	ST3GAL3
NM_174967.2	chr1	+	43736262	43930202	7	ST3GAL3
NM_174968.3	chr1	+	43736262	43930221	13	ST3GAL3
NM_174969.2	chr1	+	43736262	43930221	11	ST3GAL3
NM_174970.2	chr1	+	43736262	43930202	6	ST3GAL3
NM_174971.3	chr1	+	43736262	43930221	12	ST3GAL3
NM_175055.2	chr1	+	228458129	228458510	1	HIST3H2BB
NM_175065.2	chr1	-	149887523	149887916	1	HIST2H2AB
NM_175710.1	chr1	+	207645233	207723685	12	CR1L
NM_175744.4	chr1	-	112701539	112703799	6	RHOC
NM_175852.3	chr1	+	32180345	32195195	11	TXLNA
NM_175866.4	chr1	+	162498000	162522550	8	UHMK1
NM_175876.4	chr1	-	231335567	231337745	1	EXOC8
NM_175911.3	chr1	+	248099375	248100314	3	OR2L13
NM_176782.2	chr1	-	54609267	54623395	8	FAM151A
NM_176823.3	chr1	+	153418082	153419309	3	S100A7A
NM_176877.2	chr1	+	61762892	62160935	43	PATJ
NM_177398.3	chr1	-	165203879	165355559	9	LMX1A
NM_177402.4	chr1	-	202596756	202605772	9	SYT2
NM_177403.5	chr1	-	205978850	205994135	5	RAB7B
NM_177422.2	chr1	+	36004384	36055745	17	AGO3
NM_177424.2	chr1	+	27773307	27822329	9	STX12
NM_177540.2	chr1	+	6555373	6579584	5	TAS1R1
NM_178033.1	chr1	+	47023817	47050174	12	CYP4X1
NM_178122.4	chr1	-	24358542	24401366	8	STPG1
NM_178134.2	chr1	+	47067490	47117934	12	CYP4Z1
NM_178190.2	chr1	+	28236183	28237797	3	ATPIF1
NM_178191.2	chr1	+	28236183	28236456	2	ATPIF1
NM_178221.2	chr1	+	62803786	62864159	11	ATG4C
NM_178229.4	chr1	-	156526485	156572529	38	IQGAP3
NM_178348.2	chr1	+	152827472	152827805	1	LCE1A
NM_178349.1	chr1	+	152812446	152812803	1	LCE1B
NM_178351.3	chr1	-	152805121	152805478	2	LCE1C
NM_178352.2	chr1	+	152797794	152798139	2	LCE1D
NM_178353.1	chr1	+	152787299	152787656	2	LCE1E
NM_178354.2	chr1	+	152776371	152776728	1	LCE1F
NM_178356.3	chr1	+	152709075	152709375	1	LCE4A
NM_178422.5	chr1	-	25862798	25863839	2	PAQR7
NM_178427.2	chr1	-	150812020	150876567	21	ARNT
NM_178428.3	chr1	+	152698901	152699222	2	LCE2A
NM_178429.3	chr1	+	152676015	152676348	2	LCE2C
NM_178430.3	chr1	+	152664105	152664438	2	LCE2D
NM_178431.1	chr1	-	152622833	152623103	1	LCE3A
NM_178433.1	chr1	+	152613810	152614098	1	LCE3B
NM_178434.2	chr1	+	152600731	152601016	1	LCE3C
NM_178435.3	chr1	-	152565929	152566208	2	LCE3E
NM_178438.4	chr1	+	152511534	152511891	2	LCE5A
NM_178454.4	chr1	-	111118159	111131554	9	DRAM2
NM_178527.3	chr1	-	173501093	173601776	28	SLC9C2
NM_178545.3	chr1	-	1917881	1919265	5	TMEM52
NM_178547.3	chr1	-	32621861	32650565	7	ZBTB8OS
NM_178548.3	chr1	+	35573577	35594676	7	TFAP2E
NM_178549.3	chr1	+	227563694	227655828	4	ZNF678
NM_178550.4	chr1	-	162854764	162859646	4	CCDC190
NM_178840.3	chr1	+	16004303	16006346	2	C1orf64
NM_178865.4	chr1	+	31413265	31434199	10	SERINC2
NM_181093.3	chr1	-	169853712	169888840	14	SCYL3
NM_181358.2	chr1	+	113954632	113973512	14	HIPK1
NM_181359.2	chr1	+	154405629	154465165	9	IL6R
NM_181441.2	chr1	-	228106759	228108260	4	MRPL55
NM_181454.2	chr1	-	228106759	228108260	6	MRPL55
NM_181455.2	chr1	-	228106759	228108260	6	MRPL55
NM_181456.2	chr1	-	228106759	228108260	5	MRPL55
NM_181462.2	chr1	-	228106759	228108260	6	MRPL55
NM_181463.2	chr1	-	228106759	228108260	5	MRPL55
NM_181464.2	chr1	-	228106759	228108260	5	MRPL55
NM_181465.2	chr1	-	228106759	228108260	4	MRPL55
NM_181643.5	chr1	+	111346652	111351327	6	PIFO
NM_181644.4	chr1	+	205569069	205600461	10	MFSD4A
NM_181690.2	chr1	-	243499742	243843170	14	AKT3
NM_181696.2	chr1	-	45511328	45519043	6	PRDX1
NM_181697.2	chr1	-	45511328	45519043	6	PRDX1
NM_181703.3	chr1	-	147758161	147759238	2	GJA5
NM_181712.4	chr1	-	62238276	62281564	10	KANK4
NM_181715.2	chr1	-	153948108	153958497	14	CRTC2
NM_181719.4	chr1	-	19683039	19780758	16	TMCO4
NM_181720.2	chr1	-	161047714	161069624	13	ARHGAP30
NM_181746.3	chr1	-	150966147	150969090	11	CERS2
NM_181755.2	chr1	+	209704942	209734521	7	HSD11B1
NM_181781.3	chr1	+	90010090	90027701	10	ZNF326
NM_181809.3	chr1	+	39491991	39525798	7	BMP8A
NM_181864.2	chr1	-	6264596	6385666	9	ACOT7
NM_181865.2	chr1	-	6264596	6360652	9	ACOT7
NM_181866.2	chr1	-	6264596	6358845	9	ACOT7
NM_181871.3	chr1	-	155290571	155300887	11	PKLR
NM_181873.3	chr1	-	149928866	149936164	17	MTMR11
NM_181885.2	chr1	+	155941709	155942834	1	RXFP4
NM_182499.3	chr1	+	154506903	154547710	13	TDRD10
NM_182517.2	chr1	-	43282784	43283270	3	C1orf210
NM_182532.2	chr1	+	54981065	54992103	3	TMEM61
NM_182533.2	chr1	-	2189708	2194749	4	FAAP20
NM_182578.3	chr1	-	151847370	151853565	6	THEM5
NM_182580.2	chr1	+	109494139	109496259	3	CYB561D1
NM_182581.3	chr1	-	162374047	162376790	3	C1orf111
NM_182623.2	chr1	-	16058436	16073442	7	FAM131C
NM_182663.3	chr1	+	206507602	206586978	6	RASSF5
NM_182664.3	chr1	+	206507602	206586848	5	RASSF5
NM_182665.3	chr1	+	206557573	206586978	5	RASSF5
NM_182679.2	chr1	-	156595212	156599046	8	GPATCH4
NM_182685.1	chr1	+	155127977	155134067	4	EFNA1
NM_182689.1	chr1	+	155063823	155069173	4	EFNA4
NM_182690.2	chr1	+	155063823	155069111	4	EFNA4
NM_182744.3	chr1	+	19643311	19657129	4	NBL1
NM_182752.3	chr1	+	3625072	3628603	5	TPRG1L
NM_182759.2	chr1	+	112722233	112726640	5	FAM19A3
NM_182763.2	chr1	-	150577363	150579530	2	MCL1
NM_182838.2	chr1	-	1732454	1739557	6	SLC35E2
NM_182948.3	chr1	+	84144361	84235305	10	PRKACB
NM_182972.2	chr1	-	234607136	234609494	2	IRF2BP2
NM_182975.3	chr1	+	89995257	90005248	4	ZNF326
NM_182976.3	chr1	+	89995257	90027701	12	ZNF326
NM_183001.4	chr1	-	154963802	154970526	12	SHC1
NM_183008.2	chr1	-	26282298	26302883	16	UBXN11
NM_183059.2	chr1	-	211479035	211481415	3	RD3
NM_183062.2	chr1	+	227815716	227846208	5	PRSS38
NM_183242.3	chr1	+	92080571	92147801	9	BTBD8
NM_183372.5	chr1	-	148103895	148135798	24	NBPF11
NM_183395.2	chr1	+	247418794	247448504	7	NLRP3
NM_183412.2	chr1	+	11655835	11661305	5	FBXO44
NM_183413.2	chr1	+	11655835	11661305	5	FBXO44
NM_183416.3	chr1	+	10232328	10304647	21	KIF1B
NM_194292.2	chr1	-	100085327	100132814	17	SASS6
NM_194314.2	chr1	-	197159358	197200473	10	ZBTB41
NM_194315.1	chr1	-	1255202	1267992	8	UBE2J2
NM_194442.2	chr1	-	225403302	225424075	14	LBR
NM_194457.1	chr1	-	1255202	1263361	6	UBE2J2
NM_194458.1	chr1	-	1255202	1263361	7	UBE2J2
NM_197962.2	chr1	-	193096624	193105382	4	GLRX2
NM_197972.2	chr1	-	169132784	169324395	12	NME7
NM_198040.2	chr1	-	33324864	33375539	14	PHC2
NM_198053.2	chr1	-	167431680	167518465	8	CD247
NM_198074.4	chr1	-	247531548	247532511	2	OR2C3
NM_198076.5	chr1	+	244835714	244843176	4	COX20
NM_198077.3	chr1	-	85252628	85259633	3	C1orf52
NM_198137.1	chr1	+	26190627	26202542	10	CATSPER4
NM_198149.2	chr1	+	201888994	201891846	5	SHISA4
NM_198173.2	chr1	+	24319551	24354488	16	GRHL3
NM_198174.2	chr1	+	24319551	24364371	16	GRHL3
NM_198236.2	chr1	-	156935999	157044330	41	ARHGEF11
NM_198264.1	chr1	-	155247781	155254877	9	FAM189B
NM_198268.2	chr1	+	113940383	113973512	16	HIPK1
NM_198269.2	chr1	+	113952811	113973512	15	HIPK1
NM_198317.2	chr1	+	960693	965191	12	KLHL17
NM_198389.2	chr1	+	13583805	13615911	6	PDPN
NM_198406.2	chr1	-	156244128	156246731	8	PAQR6
NM_198427.1	chr1	+	156646054	156652966	8	BCAN
NM_198446.2	chr1	+	37808404	37809073	3	C1orf122
NM_198447.1	chr1	-	204198457	204213906	5	GOLT1A
NM_198459.3	chr1	-	114585599	114625984	18	DENND2C
NM_198460.2	chr1	+	89368551	89385469	11	GBP6
NM_198493.2	chr1	-	173610144	173659418	6	ANKRD45
NM_198494.2	chr1	+	40479361	40496059	6	ZFP69
NM_198503.3	chr1	-	196228223	196608309	28	KCNT2
NM_198544.3	chr1	+	10430517	10451595	5	APITD1-CORT
NM_198545.3	chr1	+	11706258	11719696	7	DRAXIN
NM_198546.1	chr1	-	16398764	16431371	13	SPATA21
NM_198549.3	chr1	+	77779655	77875064	16	FAM73A
NM_198551.3	chr1	+	222618110	222665619	28	MIA3
NM_198552.2	chr1	-	231019862	231040211	2	FAM89A
NM_198576.3	chr1	+	1020172	1054981	36	AGRN
NM_198681.3	chr1	-	6467562	6519511	22	PLEKHG5
NM_198714.1	chr1	-	70953785	71047577	5	PTGER3
NM_198715.2	chr1	-	71012214	71047577	2	PTGER3
NM_198716.1	chr1	-	70852838	71047577	4	PTGER3
NM_198717.1	chr1	-	70852838	71047577	3	PTGER3
NM_198718.1	chr1	-	70952906	71047577	4	PTGER3
NM_198719.1	chr1	-	70971729	71047577	4	PTGER3
NM_198883.3	chr1	+	155208804	155213698	7	MTX1
NM_198926.2	chr1	-	111726967	111755712	2	FAM212B
NM_198928.4	chr1	+	158936910	158973766	9	PYHIN1
NM_198929.4	chr1	+	158936910	158976727	8	PYHIN1
NM_198930.3	chr1	+	158936910	158976727	8	PYHIN1
NM_198973.3	chr1	-	46558761	46594146	12	MKNK1
NM_199006.2	chr1	+	10430517	10451401	4	APITD1-CORT
NM_199044.3	chr1	+	46340826	46361846	6	NSUN4
NM_199051.2	chr1	-	190098017	190454890	8	BRINP3
NM_199121.2	chr1	+	1435748	1437443	3	VWA1
NM_199173.5	chr1	+	156242231	156243162	4	BGLAP
NM_199294.2	chr1	+	10430517	10442405	5	APITD1
NM_199342.3	chr1	-	42807413	42816544	3	SVBP
NM_199344.2	chr1	+	168226079	168242540	8	SFT2D2
NM_199351.2	chr1	-	166919354	166975268	10	ILDR2
NM_199454.2	chr1	+	3069259	3433811	17	PRDM16
NM_199462.2	chr1	-	205147557	205211535	12	DSTYK
NM_201253.2	chr1	+	197268412	197477879	12	CRB1
NM_201263.2	chr1	-	119033359	119140644	6	WARS2
NM_201269.2	chr1	-	90916797	90982353	6	ZNF644
NM_201348.1	chr1	+	203483184	203486881	3	PRELP
NM_201398.2	chr1	+	154983985	154993037	8	FLAD1
NM_201403.2	chr1	-	46609654	46613321	4	MOB3C
NM_201542.4	chr1	-	43385041	43389764	7	MED8
NM_201543.2	chr1	+	236526070	236548161	11	LGALS8
NM_201544.2	chr1	+	236526070	236548161	10	LGALS8
NM_201545.2	chr1	+	236526070	236548161	12	LGALS8
NM_201546.3	chr1	-	54139519	54152922	4	CDCP2
NM_201568.2	chr1	+	183472620	183551931	22	SMG7
NM_201569.2	chr1	+	183472620	183553201	23	SMG7
NM_201624.2	chr1	-	77697316	77741697	24	USP33
NM_201626.2	chr1	-	77711734	77745462	22	USP33
NM_201628.2	chr1	+	14598997	15114635	15	KAZN
NM_201630.1	chr1	-	204617850	204619992	2	LRRN2
NM_201649.3	chr1	-	43997544	44017133	14	SLC6A9
NM_201653.3	chr1	+	111310467	111320466	12	CHIA
NM_202004.3	chr1	-	146018076	146018679	3	HFE2
NM_203341.1	chr1	-	86863546	86914111	4	sep-15
NM_203342.2	chr1	+	28993488	29115797	21	EPB41
NM_203343.2	chr1	+	28987437	29115797	17	EPB41
NM_203350.2	chr1	-	71065073	71080995	10	ZRANB2
NM_203376.1	chr1	-	205083552	205084320	1	TMEM81
NM_203399.1	chr1	-	25901015	25904676	5	STMN1
NM_203401.1	chr1	-	25901015	25904676	5	STMN1
NM_203404.1	chr1	+	109625634	109631152	16	AMPD2
NM_203412.1	chr1	+	110112534	110113059	1	UBL4B
NM_203454.2	chr1	-	183647677	183648781	2	APOBEC4
NM_203456.2	chr1	+	39738900	39763742	10	PPIE
NM_203458.4	chr1	-	146156152	146189337	5	NOTCH2NL
NM_203459.2	chr1	+	200739827	200858059	17	CAMSAP2
NM_203464.2	chr1	+	65148407	65226177	6	AK4
NM_205768.2	chr1	+	244051431	244055370	2	ZBTB18
NM_205848.3	chr1	-	114093785	114139871	8	SYT6
NM_205860.2	chr1	+	200027847	200174210	8	NR5A2
NM_205861.2	chr1	+	26432945	26469131	9	DHDDS
NM_206594.2	chr1	-	216506938	216677478	9	ESRRG
NM_206595.2	chr1	-	216506938	216677478	8	ESRRG
NM_206837.2	chr1	-	36428319	36450369	5	OSCP1
NM_206840.2	chr1	-	224227625	224311823	22	NVL
NM_206886.4	chr1	+	93183361	93278477	28	CCDC18
NM_206926.1	chr1	+	25800230	25815718	12	SEPN1
NM_206933.2	chr1	-	215625780	216422336	72	USH2A
NM_206996.2	chr1	-	117963798	118185157	49	SPAG17
NM_207005.2	chr1	-	161039919	161042214	11	USF1
NM_207014.2	chr1	-	66837652	66924831	10	WDR78
NM_207042.1	chr1	-	150622843	150629470	5	ENSA
NM_207043.1	chr1	-	150625637	150629470	4	ENSA
NM_207044.1	chr1	-	150625637	150629470	3	ENSA
NM_207045.1	chr1	-	150622843	150629105	5	ENSA
NM_207046.1	chr1	-	150622843	150629105	4	ENSA
NM_207047.1	chr1	-	150625637	150629105	3	ENSA
NM_207108.2	chr1	-	176868839	177164676	22	ASTN1
NM_207168.1	chr1	-	150627331	150629470	2	ENSA
NM_207170.3	chr1	-	25223265	25232467	6	SYF2
NM_207171.2	chr1	-	151404801	151442204	17	POGZ
NM_207189.3	chr1	+	91962754	92014274	19	BRDT
NM_207191.2	chr1	+	155051386	155062356	20	ADAM15
NM_207194.2	chr1	+	155051386	155062502	22	ADAM15
NM_207195.2	chr1	+	155051386	155062502	22	ADAM15
NM_207196.2	chr1	+	155051386	155062502	23	ADAM15
NM_207197.2	chr1	+	155051386	155062502	23	ADAM15
NM_207308.2	chr1	-	153992834	154155044	40	NUP210L
NM_207334.2	chr1	+	20552973	20553963	1	FAM43B
NM_207348.2	chr1	+	15736485	15739406	5	SLC25A34
NM_207356.2	chr1	-	3889959	3900186	4	C1orf174
NM_207370.2	chr1	-	6249337	6254905	6	GPR153
NM_207396.2	chr1	+	6206535	6219407	18	RNF207
NM_207397.3	chr1	-	27380046	27383239	5	CD164L2
NM_207398.2	chr1	-	89132148	89171935	11	GBP7
NM_207401.2	chr1	-	247111510	247112224	1	C1orf229
NM_207418.2	chr1	+	145096847	145111597	4	FAM72D
NM_207420.2	chr1	-	9003299	9026345	12	SLC2A7
NM_207421.4	chr1	+	17372245	17401438	16	PADI6
NM_207468.2	chr1	+	222746545	222750058	6	FAM177B
NM_207578.2	chr1	+	84078325	84204490	9	PRKACB
NM_212502.2	chr1	+	205523167	205531378	16	CDK18
NM_212503.2	chr1	+	205523167	205531378	16	CDK18
NM_212551.4	chr1	-	151160881	151165258	3	LYSMD1
NM_213566.1	chr1	-	10463033	10472458	5	DFFA
NM_213593.4	chr1	+	53894210	53909999	4	DIO1
NM_213651.2	chr1	-	108136652	108192621	10	SLC25A24
NM_213652.3	chr1	-	146018076	146018679	2	HFE2
NM_213653.3	chr1	-	146018076	146020231	4	HFE2
NM_001310138.1	chr1_KI270713v1_random	+	35406	35916	1	FAM231C
NM_000043.5	chr10	+	88990876	89014450	9	FAS
NM_000102.3	chr10	-	102830701	102837361	8	CYP17A1
NM_000124.3	chr10	-	49458814	49532964	21	ERCC6
NM_000141.4	chr10	-	121479856	121593817	18	FGFR2
NM_000188.2	chr10	+	69318947	69401135	18	HK1
NM_000195.4	chr10	-	98417563	98443240	20	HPS1
NM_000235.3	chr10	-	89214827	89247648	10	LIPA
NM_000242.2	chr10	-	52768136	52771635	4	MBL2
NM_000274.3	chr10	-	124397941	124412171	10	OAT
NM_000278.4	chr10	+	100746260	100827619	10	PAX2
NM_000281.3	chr10	-	70883949	70888533	4	PCBD1
NM_000314.6	chr10	+	87864469	87965472	9	PTEN
NM_000375.2	chr10	-	125788867	125816499	10	UROS
NM_000392.4	chr10	+	99782844	99851631	32	ABCC2
NM_000399.4	chr10	-	62813206	62816029	2	EGR2
NM_000417.2	chr10	-	6012871	6062151	8	IL2RA
NM_000429.2	chr10	-	80273780	80289423	9	MAT1A
NM_000494.3	chr10	-	104032234	104080673	56	COL17A1
NM_000609.6	chr10	-	44373327	44385005	4	CXCL12
NM_000681.3	chr10	+	111077996	111079394	1	ADRA2A
NM_000684.2	chr10	+	114044132	114045566	1	ADRB1
NM_000698.4	chr10	+	45374279	45445687	14	ALOX5
NM_000724.3	chr10	+	18261269	18539724	13	CACNB2
NM_000769.2	chr10	+	94762705	94852914	9	CYP2C19
NM_000770.3	chr10	-	95037127	95069402	9	CYP2C8
NM_000771.3	chr10	+	94938682	94989028	9	CYP2C9
NM_000772.2	chr10	+	94683819	94735444	9	CYP2C18
NM_000773.3	chr10	+	133527395	133538964	9	CYP2E1
NM_000783.3	chr10	+	93073934	93077304	7	CYP26A1
NM_000818.2	chr10	+	26216809	26300961	17	GAD2
NM_000872.4	chr10	-	90742485	90857671	3	HTR7
NM_000917.3	chr10	-	73008221	73074883	15	P4HA1
NM_000936.2	chr10	+	116546092	116567798	13	PNLIP
NM_001001330.2	chr10	+	63521545	63620869	8	REEP3
NM_001001342.2	chr10	-	100275461	100286139	4	BLOC1S2
NM_001001412.3	chr10	-	103455261	103458751	2	CALHM1
NM_001001484.2	chr10	+	16484384	16511256	6	PTER
NM_001001732.3	chr10	+	96004227	96032008	9	CC2D2B
NM_001001791.2	chr10	-	73911684	73912244	5	C10orf55
NM_001001851.2	chr10	-	7572321	7666892	12	ITIH5
NM_001001936.2	chr10	-	114296041	114404455	19	AFAP1L2
NM_001001971.2	chr10	-	59247613	59362460	12	FAM13C
NM_001001973.2	chr10	+	7788207	7806980	10	ATP5C1
NM_001001974.2	chr10	+	122393200	122429938	12	PLEKHA1
NM_001001976.2	chr10	-	121743679	121927949	12	ATE1
NM_001002261.3	chr10	+	97738477	97759300	12	ZFYVE27
NM_001002262.3	chr10	+	97738477	97759300	12	ZFYVE27
NM_001002266.2	chr10	-	45458238	45533211	7	MARCH8
NM_001002295.1	chr10	+	8055655	8074023	6	GATA3
NM_001002759.1	chr10	+	104122183	104125704	4	SFR1
NM_001002762.2	chr10	-	72335809	72354999	8	DNAJB12
NM_001003407.1	chr10	-	114436259	114684353	23	ABLIM1
NM_001003408.1	chr10	-	114436259	114684353	24	ABLIM1
NM_001003892.1	chr10	-	75037835	75058514	3	DUPD1
NM_001004297.2	chr10	-	45303435	45304422	4	OR13A1
NM_001004298.2	chr10	-	126425863	126521320	9	C10orf90
NM_001004470.1	chr10	-	17320877	17454255	8	ST8SIA6
NM_001005339.1	chr10	-	119500112	119542638	5	RGS10
