ID	type	qualifier	systematicName	geneSymbol	alias	parent.feature.name	secondary.sgdid	chromosome	start	stop	strand	genetic.position	coordinate.version	sequence.version	description
S000033242	CDS					YLR140W		12	423474	423800	W	NA	2011-02-03	1996-07-31	
S000004131	gene	Verified	YLR141W	RRN5		chromosome 12	L000003261	12	423683	424774	W	NA	2011-02-03	1996-07-31	Protein involved in transcription of rDNA by RNA polymerase I; transcription factor, member of UAF (upstream activation factor) family along with Rrn9p and Rrn10p
S000033304	CDS					YLR141W		12	423683	424774	W	NA	2011-02-03	1996-07-31	
S000004132	gene	Verified	YLR142W	PUT1	proline dehydrogenase	chromosome 12	L000001535	12	425186	426616	W	73	2011-02-03	1996-07-31	Proline oxidase, nuclear-encoded mitochondrial protein involved in utilization of proline as sole nitrogen source; PUT1 transcription is induced by Put3p in the presence of proline and the absence of a preferred nitrogen source
S000033371	CDS					YLR142W		12	425186	426616	W	NA	2011-02-03	1996-07-31	
S000006541	tRNA		tD(GUC)L1			chromosome 12	L000003647	12	427132	427203	W	NA	2011-02-03	2000-05-19	Aspartate tRNA (tRNA-Asp), predicted by tRNAscan-SE analysis
S000031841	noncoding_exon					tD(GUC)L1		12	427132	427203	W	NA	2011-02-03	2000-05-19	
S000004133	gene	Verified	YLR143W	DPH6		chromosome 12		12	427329	429386	W	NA	2011-02-03	1996-07-31	Diphthamide synthetase; catalyzes the last amidation step of diphthamide biosynthesis using ammonium and ATP; evolutionarily conserved in eukaryotes; dph6 mutants exhibit diphthine accumulation and resistance to sordarin, which is indicative of defects in diphthamide formation on EF2; green fluorescent protein (GFP)-tagged protein localizes to the cytoplasm; DPH6/YLR143W is not an essential gene
S000034284	CDS					YLR143W		12	427329	429386	W	NA	2011-02-03	1996-07-31	
S000004134	gene	Verified	YLR144C	ACF2	PCA1|ENG2	chromosome 12	L000004011	12	432016	429677	C	NA	2011-02-03	1996-07-31	Intracellular beta-1,3-endoglucanase; expression is induced during sporulation; may have a role in cortical actin cytoskeleton assembly; protein abundance increases in response to DNA replication stress
S000034344	CDS					YLR144C		12	432016	429677	C	NA	2011-02-03	1996-07-31	
S000004135	gene	Verified	YLR145W	RMP1		chromosome 12		12	432168	432773	W	NA	2011-02-03	1996-07-31	Subunit of RNase MRP, which processes pre-rRNA and has a role in cell cycle-regulated degradation of daughter cell-specific mRNAs; unlike most subunits, not shared between RNase MRP and nuclear RNase P
S000034472	CDS					YLR145W		12	432168	432773	W	NA	2011-02-03	1996-07-31	
S000004136	gene	Verified	YLR146C	SPE4	spermine synthase	chromosome 12	L000004341	12	433725	432823	C	NA	2011-02-03	1996-07-31	Spermine synthase, required for the biosynthesis of spermine and also involved in biosynthesis of pantothenic acid
S000034521	CDS					YLR146C		12	433725	432823	C	NA	2011-02-03	1996-07-31	
S000113566	gene	Uncharacterized	YLR146W-A			chromosome 12		12	433870	434058	W	NA	2011-02-03	2005-11-17	Putative protein of unknown function
S000113567	CDS					YLR146W-A		12	433870	434058	W	NA	2011-02-03	2005-11-17	
S000004137	gene	Verified	YLR147C	SMD3	Sm D3|SLT16	chromosome 12	L000001929	12	434463	434158	C	NA	2011-02-03	1996-07-31	Core Sm protein Sm D3; part of heteroheptameric complex (with Smb1p, Smd1p, Smd2p, Sme1p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm D3
S000035546	CDS					YLR147C		12	434463	434158	C	NA	2011-02-03	1996-07-31	
S000004138	gene	Verified	YLR148W	PEP3	VPT18|VPS18|VAM8	chromosome 12	L000001374|L000002473	12	434641	437397	W	91	2011-02-03	1996-07-31	Component of CORVET tethering complex; vacuolar peripheral membrane protein that promotes vesicular docking/fusion reactions in conjunction with SNARE proteins, required for vacuolar biogenesis
S000035686	CDS					YLR148W		12	434641	437397	W	NA	2011-02-03	1996-07-31	
S000004139	gene	Verified	YLR149C			chromosome 12		12	439823	437631	C	NA	2011-02-03	1996-07-31	Protein of unknown function; overexpression causes a cell cycle delay or arrest; null mutation results in a decrease in plasma membrane electron transport; YLR149C is not an essential gene; protein abundance increases in response to DNA replication stress
S000035734	CDS					YLR149C		12	439823	437631	C	NA	2011-02-03	1996-07-31	
S000007619	gene	Dubious	YLR149C-A			chromosome 12		12	440456	440370	C	NA	2011-02-03	2001-02-26	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
S000037217	CDS					YLR149C-A		12	440456	440370	C	NA	2011-02-03	2001-02-26	
S000004140	gene	Verified	YLR150W	STM1	MPT4	chromosome 12	L000002574	12	440467	441288	W	NA	2011-02-03	1996-07-31	Protein required for optimal translation under nutrient stress; perturbs association of Yef3p with ribosomes; involved in TOR signaling; binds G4 quadruplex and purine motif triplex nucleic acid; helps maintain telomere structure; protein abundance increases in response to DNA replication stress; serves as a ribosome preservation factor both during quiescence and recovery
S000036485	CDS					YLR150W		12	440467	441288	W	NA	2011-02-03	1996-07-31	
S000004141	gene	Verified	YLR151C	PCD1		chromosome 12		12	442737	441715	C	NA	2011-02-03	1996-07-31	8-oxo-dGTP diphosphatase; prevent sspontaneous mutagenesis via sanitization of oxidized purine nucleoside triphosphates; can also act as peroxisomal pyrophosphatase with specificity for coenzyme A and CoA derivatives, may function to remove potentially toxic oxidized CoA disulfide from peroxisomes to maintain the capacity for beta-oxidation of fatty acids; nudix hydrolase family member; similar E. coli MutT and human, rat and mouse MTH1
S000036493	CDS					YLR151C		12	442737	441715	C	NA	2011-02-03	1996-07-31	
S000004142	gene	Uncharacterized	YLR152C			chromosome 12		12	444688	442958	C	NA	2011-02-03	1996-07-31	Putative protein of unknown function; YLR152C is not an essential gene
S000036614	CDS					YLR152C		12	444688	442958	C	NA	2011-02-03	1996-07-31	
S000004143	gene	Verified	YLR153C	ACS2	acetate--CoA ligase ACS2	chromosome 12	L000003111	12	447575	445524	C	NA	2011-02-03	1996-07-31	Acetyl-coA synthetase isoform which, along with Acs1p, is the nuclear source of acetyl-coA for histone acetylation; mutants affect global transcription; required for growth on glucose; expressed under anaerobic conditions
S000036713	CDS					YLR153C		12	447575	445524	C	NA	2011-02-03	1996-07-31	
S000004144	gene	Verified	YLR154C	RNH203	Rnh2C	chromosome 12		12	448314	447982	C	NA	2011-02-03	1996-07-31	Ribonuclease H2 subunit, required for RNase H2 activity; related to human AGS3 that causes Aicardi-Goutieres syndrome
S000037436	CDS					YLR154C		12	448314	447982	C	NA	2011-02-03	1996-07-31	
S000006699	tRNA		tQ(UUG)L			chromosome 12	L000003663	12	448721	448650	C	NA	2011-02-03	2000-05-19	Glutamine tRNA (tRNA-Gln), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p
S000032585	noncoding_exon					tQ(UUG)L		12	448721	448650	C	NA	2011-02-03	2000-05-19	
S000007084	long_terminal_repeat		YLRWdelta6			chromosome 12		12	448842	449028	W	NA	2011-02-03	2000-05-19	Ty1 LTR
S000118475	ARS		ARS1216		ARSXII-451	chromosome 12		12	450485	450725		NA	2011-02-03	2006-08-30	Autonomously Replicating Sequence
S000029718	rRNA		ETS2-1	ETS2-1	3 ETS	chromosome 12		12	451785	451575	C	NA	2011-02-03	2004-03-04	Non-coding region located adjacent to and downstream of RDN25, transcribed as part of the 35S rRNA precursor transcript; contains the primary rRNA transcription termination site at +93 and a secondary termination site between +211 and +250
S000036854	external_transcribed_spacer_region					ETS2-1		12	451785	451575	C	NA	2011-02-03	2004-03-04	
S000028675	gene	Dubious	YLR154W-A		YLR154W-C	chromosome 12		12	452438	452623	W	NA	2011-02-03	2003-07-29	Dubious open reading frame unlikely to encode a protein; encoded within the the 25S rRNA gene on the opposite strand
S000032525	CDS					YLR154W-A		12	452438	452623	W	NA	2011-02-03	2003-07-29	
S000028563	gene	Dubious	YLR154W-B			chromosome 12		12	454392	454556	W	NA	2011-02-03	2003-07-29	Dubious open reading frame unlikely to encode a protein; encoded within the the 25S rRNA gene on the opposite strand
S000031269	CDS					YLR154W-B		12	454392	454556	W	NA	2011-02-03	2003-07-29	
S000028422	gene	Verified	YLR154W-C	TAR1	YLR154W-A	chromosome 12	S000007646	12	454696	455070	W	NA	2011-02-03	2002-06-20	Mitochondrial protein potentially involved in regulation of respiratory metabolism; interacts genetically with RPO41 and physically with Coq5p; encoded within the 25S rRNA gene on the opposite strand
S000029958	CDS					YLR154W-C		12	454696	455070	W	NA	2011-02-03	2002-06-20	
S000006484	rRNA		RDN25-1	RDN25-1	25S rRNA|26S rRNA|RDN25	chromosome 12		12	455181	451786	C	NA	2011-02-03	2000-05-19	25S ribosomal RNA (25S rRNA), component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript
S000032318	noncoding_exon					RDN25-1		12	455181	451786	C	NA	2011-02-03	2000-05-19	
S000029716	rRNA		ITS2-1	ITS2-1	ITS2	chromosome 12		12	455413	455182	C	NA	2011-02-03	2004-03-04	Non-coding region between RDN58 and RDN25, that is transcribed as part of the 35S rRNA precursor transcript; forms a stem-loop structure that is required for processing of the precursor transcript
S000036852	internal_transcribed_spacer_region					ITS2-1		12	455413	455182	C	NA	2011-02-03	2004-03-04	
S000028676	gene	Dubious	YLR154W-E			chromosome 12		12	455433	455636	W	NA	2011-02-03	2003-07-29	Dubious open reading frame unlikely to encode a protein; encoded within the the 35S rRNA gene on the opposite strand
S000032527	CDS					YLR154W-E		12	455433	455636	W	NA	2011-02-03	2003-07-29	
S000006488	rRNA		RDN58-1	RDN58-1	5.8S rRNA|RDN58	chromosome 12		12	455571	455414	C	NA	2011-02-03	2000-05-19	5.8S ribosomal RNA (5.8S rRNA); component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript; 3 end formation involves processing by the exosome complex while 5 end is generated by Kem1p and Rat1p
S000033911	noncoding_exon					RDN58-1		12	455571	455414	C	NA	2011-02-03	2000-05-19	
S000028843	gene	Dubious	YLR154W-F			chromosome 12		12	455883	456023	W	NA	2011-02-03	2003-07-29	Dubious open reading frame unlikely to encode a protein; encoded within the the 35S rRNA gene on the opposite strand
S000034528	CDS					YLR154W-F		12	455883	456023	W	NA	2011-02-03	2003-07-29	
S000029715	rRNA		ITS1-1	ITS1-1	ITS1	chromosome 12		12	455932	455572	C	NA	2011-02-03	2004-03-04	Non-coding region between RDN58 and RDN18, that is transcribed as part of the 35S rRNA precursor transcript; excision during transcript maturation is coupled with processing of the 3 external transcribed spacer (3ETS)
S000036841	internal_transcribed_spacer_region					ITS1-1		12	455932	455572	C	NA	2011-02-03	2004-03-04	
S000006482	rRNA		RDN18-1	RDN18-1	18S rRNA|RDN18	chromosome 12		12	457732	455933	C	NA	2011-02-03	2000-05-19	18S ribosomal RNA (18S rRNA); component of the small (40S) ribosomal subunit; involved in codon recognition by tRNAs or the release factor eRF1 (Sup45p); encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript
S000033329	noncoding_exon					RDN18-1		12	457732	455933	C	NA	2011-02-03	2000-05-19	
S000006486	rRNA		RDN37-1	RDN37-1	RDN37	chromosome 12		12	458432	451575	C	NA	2011-02-03	1997-07-30	35S ribosomal RNA (35S rRNA) transcript; encoded by the RDN1 locus; processed into the 25S, 18S and 5.8S rRNAs (represented by the RDN25, RDN18, and RDN58 loci)
S000032929	external_transcribed_spacer_region					RDN37-1		12	451785	451575	C	NA	2011-02-03	2000-05-19	
S000032923	external_transcribed_spacer_region					RDN37-1		12	458432	457733	C	NA	2011-02-03	2000-05-19	
S000032927	internal_transcribed_spacer_region					RDN37-1		12	455413	455182	C	NA	2011-02-03	2000-05-19	
S000032925	internal_transcribed_spacer_region					RDN37-1		12	455932	455572	C	NA	2011-02-03	2000-05-19	
S000032928	noncoding_exon					RDN37-1		12	455181	451786	C	NA	2011-02-03	2000-05-19	
S000032926	noncoding_exon					RDN37-1		12	455571	455414	C	NA	2011-02-03	2000-05-19	
S000032924	noncoding_exon					RDN37-1		12	457732	455933	C	NA	2011-02-03	2000-05-19	
S000029717	rRNA		ETS1-1	ETS1-1	5 ETS	chromosome 12		12	458432	457733	C	NA	2011-02-03	2004-03-04	Non-coding region located immediately upstream of RDN18, that is transcribed as part of the 35S rRNA precursor transcript; contains an essential U3 snoRNA binding site required for maturation of 18S rRNA
S000036853	external_transcribed_spacer_region					ETS1-1		12	458432	457733	C	NA	2011-02-03	2004-03-04	
S000120636	ARS		ARS1200-1		ARSXII-459|ARS1216.5|rDNA ARS	chromosome 12		12	458991	459097		NA	2011-02-03	2007-02-06	Chromosomal origin of bidirectional DNA replication; an rDNA ARS is presumed to be present in each tandem rDNA repeat, but fewer than one-third of the rDNA ARSs are actually used as replication origins in a given S phase
S000120639	ARS consensus sequence					ARS1200-1		12	459088	459078	C	NA	2011-02-03	2007-02-06	
S000029329	rRNA		NTS2-1	NTS2-1		chromosome 12	L000003944	12	459675	458433	C	NA	2011-02-03	2003-12-09	Nontranscribed region of the rDNA repeat, located between RND5 and the 5ETS; contains RNA polymerase I termination site
S000032460	non_transcribed_region					NTS2-1		12	459675	458433	C	NA	2011-02-03	2003-12-09	
S000006479	rRNA		RDN5-1	RDN5-1	RDN5	chromosome 12		12	459676	459796	W	NA	2011-02-03	2000-05-19	5S ribosomal RNA (5S rRNA); only complete sequence of 6 repeated RDN5 alleles; able to support viability when provided as sole form of 5S rRNA; component of the large (60S) ribosomal subunit; localized to the nucleolus via interaction with Rpl5p; may play a role in translational frame fidelity; transcription is mediated by PolIII and activated by TFIIIA and TFIIIE
S000031406	noncoding_exon					RDN5-1		12	459676	459796	W	NA	2011-02-03	2000-05-19	
S000029714	rRNA		NTS1-2	NTS1-2	NTS1	chromosome 12		12	460711	459797	C	NA	2011-02-03	2004-03-04	Non-transcribed region of the rDNA repeat located between the 3 ETS and RDN5, required for rDNA repeat expansion
S000036840	non_transcribed_region					NTS1-2		12	460711	459797	C	NA	2011-02-03	2004-03-04	
S000029713	rRNA		ETS2-2	ETS2-2	3 ETS	chromosome 12		12	460922	460712	C	NA	2011-02-03	2004-03-04	Non-coding region located adjacent to RDN25, transcribed as part of the 35S rRNA precursor transcript; contains the primary rRNA transcription termination site at +93 and a secondary termination site between +211 and +250
S000036839	external_transcribed_spacer_region					ETS2-2		12	460922	460712	C	NA	2011-02-03	2004-03-04	
S000028561	gene	Uncharacterized	YLR154C-G			chromosome 12		12	462671	462522	C	NA	2011-02-03	2003-07-29	Putative protein of unknown function identified by fungal homology comparisons and RT-PCR; this ORF is contained within RDN25-2 and RDN37-2
S000031267	CDS					YLR154C-G		12	462671	462522	C	NA	2011-02-03	2003-07-29	
S000006485	rRNA		RDN25-2	RDN25-2	25S rRNA|26S rRNA|RDN25	chromosome 12		12	464318	460923	C	NA	2011-02-03	2000-05-19	25S ribosomal RNA (25S rRNA), component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript
S000032336	noncoding_exon					RDN25-2		12	464318	460923	C	NA	2011-02-03	2000-05-19	
S000029712	rRNA		ITS2-2	ITS2-2	ITS2	chromosome 12		12	464550	464319	C	NA	2011-02-03	2004-03-04	Non-coding region between RDN58 and RDN25, transcribed as part of the 35S rRNA precursor transcript; forms a stem-loop structure required for processing of the precursor transcript
S000036837	internal_transcribed_spacer_region					ITS2-2		12	464550	464319	C	NA	2011-02-03	2004-03-04	
S000006489	rRNA		RDN58-2	RDN58-2	5.8S rRNA|RDN58	chromosome 12		12	464708	464551	C	NA	2011-02-03	2000-05-19	5.8S ribosomal RNA (5.8S rRNA); component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1)
S000033912	noncoding_exon					RDN58-2		12	464708	464551	C	NA	2011-02-03	2000-05-19	
S000029709	rRNA		ITS1-2	ITS1-2	ITS1	chromosome 12		12	465069	464709	C	NA	2011-02-03	2004-03-04	Non-coding region between RDN58 and RDN18, transcribed as part of the 35S rRNA precursor transcript; excision during transcript maturation is coupled with processing of the 3 external transcribed spacer (3 ETS)
S000036833	internal_transcribed_spacer_region					ITS1-2		12	465069	464709	C	NA	2011-02-03	2004-03-04	
S000006483	rRNA		RDN18-2	RDN18-2	18S rRNA|RDN18	chromosome 12		12	466869	465070	C	NA	2011-02-03	2000-05-19	18S ribosomal RNA (18S rRNA); component of the small (40S) ribosomal subunit; involved in codon recognition by tRNAs or the release factor eRF1 (Sup45p); encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript
S000033332	noncoding_exon					RDN18-2		12	466869	465070	C	NA	2011-02-03	2000-05-19	
S000006487	rRNA		RDN37-2	RDN37-2	RDN37	chromosome 12		12	467569	460712	C	NA	2011-02-03	1997-07-30	35S ribosomal RNA (35S rRNA) transcript; encoded by the RDN1 locus; processed into the 25S, 18S and 5.8S rRNAs (represented by the RDN25, RDN18, and RDN58 loci)
S000032939	external_transcribed_spacer_region					RDN37-2		12	460922	460712	C	NA	2011-02-03	2000-05-19	
S000032933	external_transcribed_spacer_region					RDN37-2		12	467569	466870	C	NA	2011-02-03	2000-05-19	
S000032937	internal_transcribed_spacer_region					RDN37-2		12	464550	464319	C	NA	2011-02-03	2000-05-19	
S000032935	internal_transcribed_spacer_region					RDN37-2		12	465069	464709	C	NA	2011-02-03	2000-05-19	
S000032938	noncoding_exon					RDN37-2		12	464318	460923	C	NA	2011-02-03	2000-05-19	
S000032936	noncoding_exon					RDN37-2		12	464708	464551	C	NA	2011-02-03	2000-05-19	
S000032934	noncoding_exon					RDN37-2		12	466869	465070	C	NA	2011-02-03	2000-05-19	
S000029707	rRNA		ETS1-2	ETS1-2	5 ETS	chromosome 12		12	467569	466870	C	NA	2011-02-03	2004-03-04	Non-coding region located immediately upstream of RDN18, transcribed as part of the 35S rRNA precursor transcript; contains an essential U3 snoRNA binding site required for maturation of 18S rRNA
S000036830	external_transcribed_spacer_region					ETS1-2		12	467569	466870	C	NA	2011-02-03	2004-03-04	
S000120655	ARS		ARS1200-2		ARSXII-468|rDNA ARS	chromosome 12		12	468128	468234		NA	2011-02-03	2007-02-06	Chromosomal origin of bidirectional DNA replication; an rDNA ARS is presumed to be present in each tandem rDNA repeat, but fewer than one-third of the rDNA ARSs are actually used as replication origins in a given S phase
S000120656	ARS consensus sequence					ARS1200-2		12	468225	468215	C	NA	2011-02-03	2007-02-06	
S000029706	rRNA		NTS2-2	NTS2-2	NTS2	chromosome 12		12	468812	467570	C	NA	2011-02-03	2004-03-04	Non-transcribed region of the rDNA repeat, located between RDN5 and the 5 ETS
S000036829	non_transcribed_region					NTS2-2		12	468812	467570	C	NA	2011-02-03	2004-03-04	
S000006480	rRNA		RDN5-2	RDN5-2	RDN5	chromosome 12		12	468813	468931	W	NA	2011-02-03	1997-07-30	Variant 5S ribosomal rRNA (5S rRNA) gene; located within the RDN1 locus; unable to support cell viability when provided as sole source of 5S rRNA; identical in sequence to variant alleles RDN5-3, RDN5-4, and RDN5-5
S000031412	noncoding_exon					RDN5-2		12	468813	468931	W	NA	2011-02-03	2000-05-19	
S000028562	gene	Uncharacterized	YLR154C-H			chromosome 12		12	468958	468827	C	NA	2011-02-03	2003-07-29	Putative protein of unknown function; identified by fungal homology comparisons and RT-PCR; this ORF partially overlaps RDN5-2; YLR154C-H has a paralog, YLR157C-C, that arose from a segmental duplication
S000031268	CDS					YLR154C-H		12	468958	468827	C	NA	2011-02-03	2003-07-29	
S000004145	gene	Verified	YLR155C	ASP3-1	asparaginase ASP3-1|ASP3	chromosome 12	L000000130	12	470405	469317	C	NA	2011-02-03	1996-07-31	Cell-wall L-asparaginase II involved in asparagine catabolism; expression induced during nitrogen starvation; ORF contains a short non-coding RNA that enhances expression of full-length gene; likely arose in via horizontal gene transfer from the wine yeast Wickerhamomyces anomalus or a close relative; reference strain S288C has four copies of ASP3; ASP3-1 has a paralog, ASP3-3, that arose from a segmental duplication
S000037563	CDS					YLR155C		12	470405	469317	C	NA	2011-02-03	1996-07-31	
S000004146	gene	Uncharacterized	YLR156W			chromosome 12		12	472113	472457	W	NA	2011-02-03	1996-07-31	Putative protein of unknown function; exhibits a two-hybrid interaction with Jsn1p in a large-scale analysis; YLR156W has a paralog, YLR159W, that arose from a segmental duplication
S000030409	CDS					YLR156W		12	472113	472457	W	NA	2011-02-03	1996-07-31	
S000006481	rRNA		RDN5-3	RDN5-3	RDN5	chromosome 12		12	472465	472583	W	NA	2011-02-03	1997-07-30	Variant 5S ribosomal RNA (5S rRNA) gene; located at a site distal to the RDN1 locus; unable to support cell viability when provided as sole source of 5S rRNA; identical in sequence to variant alleles RDN5-2, RDN5-4, and RDN5-5
S000031417	noncoding_exon					RDN5-3		12	472465	472583	W	NA	2011-02-03	2000-05-19	
S000028564	gene	Uncharacterized	YLR156C-A			chromosome 12		12	472610	472479	C	NA	2011-02-03	2003-07-29	Putative protein of unknown function; identified by fungal homology comparisons and RT-PCR; partially overlaps RND5-3; YLR156C-A has a paralog, YLR159C-A, that arose from a segmental duplication
S000031270	CDS					YLR156C-A		12	472610	472479	C	NA	2011-02-03	2003-07-29	
S000004147	gene	Verified	YLR157C	ASP3-2	asparaginase ASP3-2|ASP3	chromosome 12		12	474057	472969	C	NA	2011-02-03	1996-07-31	Cell-wall L-asparaginase II involved in asparagine catabolism; expression induced during nitrogen starvation; ORF contains a short non-coding RNA that enhances expression of full-length gene; likely arose in via horizontal gene transfer from the wine yeast Wickerhamomyces anomalus or a close relative; reference strain S288C has four copies of ASP3; ASP3-2 has a paralog, ASP3-4, that arose from a segmental duplication
S000030487	CDS					YLR157C		12	474057	472969	C	NA	2011-02-03	1996-07-31	
S000028677	gene	Uncharacterized	YLR157W-D		YLR157W-A	chromosome 12		12	475764	475976	W	NA	2011-02-03	2003-07-29	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching; YLR157W-D has a paralog, YLR161W, that arose from a segmental duplication
S000032531	CDS					YLR157W-D		12	475764	475976	W	NA	2011-02-03	2003-07-29	
S000007068	long_terminal_repeat		YLRCdelta7			chromosome 12		12	476310	475976	C	NA	2011-02-03	2000-05-19	Ty1 LTR
S000007374	transposable_element_gene		YLR157C-B		gag-pol fusion protein	chromosome 12		12	481601	476333	C	NA	2011-02-03	1999-07-17	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes
S000035905	CDS					YLR157C-B		12	480295	476333	C	NA	2011-02-03	1999-07-17	
S000035904	CDS					YLR157C-B		12	481601	480297	C	NA	2011-02-03	1999-07-17	
S000035906	plus_1_translational_frameshift					YLR157C-B		12	480296	480296	C	NA	2011-02-03	1999-07-17	
S000007373	transposable_element_gene		YLR157C-A		gag protein 	chromosome 12		12	481601	480279	C	NA	2011-02-03	1999-07-17	Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag
S000035900	CDS					YLR157C-A		12	481601	480279	C	NA	2011-02-03	1999-07-17	
S000028678	gene	Uncharacterized	YLR157W-E		YLR157W-B|YLR157W-C	chromosome 12		12	481873	482037	W	NA	2011-02-03	2003-07-29	Putative protein of unknown function identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching; partially overlaps a Ty1 element
S000032535	CDS					YLR157W-E		12	481873	482037	W	NA	2011-02-03	2003-07-29	
S000007081	retrotransposon		YLRCTy1-1		Ty1	chromosome 12		12	481897	475976	C	NA	2011-02-03	2000-05-19	Ty1 element, LTR retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats
S000007069	long_terminal_repeat		YLRCdelta8			chromosome 12		12	481897	481563	C	NA	2011-02-03	2000-05-19	Ty1 LTR
S000029708	rRNA		RDN5-4	RDN5-4	RDN5	chromosome 12		12	482045	482163	W	NA	2011-02-03	2004-03-04	Variant 5S ribosomal rRNA (5S rRNA) gene; located at a site distal to the RDN1 locus; unable to support cell viability when provided as sole source of 5S rRNA; identical in sequence to variant alleles RDN5-2, RDN5-3, and RDN5-5
S000036831	noncoding_exon					RDN5-4		12	482045	482163	W	NA	2011-02-03	2004-03-04	
S000028565	gene	Uncharacterized	YLR157C-C			chromosome 12		12	482190	482059	C	NA	2011-02-03	2003-07-29	Putative protein of unknown function; identified by fungal homology comparisons and RT-PCR; this ORF partially overlaps RDN5-4; YLR157C-C has a paralog, YLR154C-H, that arose from a segmental duplication
S000031271	CDS					YLR157C-C		12	482190	482059	C	NA	2011-02-03	2003-07-29	
S000004148	gene	Verified	YLR158C	ASP3-3	asparaginase ASP3-3|ASP3	chromosome 12		12	483637	482549	C	NA	2011-02-03	1996-07-31	Cell-wall L-asparaginase II involved in asparagine catabolism; expression induced during nitrogen starvation; ORF contains a short non-coding RNA that enhances expression of full-length gene; likely arose in via horizontal gene transfer from the wine yeast Wickerhamomyces anomalus or a close relative; reference strain S288C has four copies of ASP3; ASP3-3 has a paralog, ASP3-1, that arose from a segmental duplication
S000030598	CDS					YLR158C		12	483637	482549	C	NA	2011-02-03	1996-07-31	
S000004149	gene	Uncharacterized	YLR159W			chromosome 12		12	485345	485689	W	NA	2011-02-03	1996-07-31	Putative protein of unknown function; YLR156W, YLR159W, and YLR161W are three identical open reading frames in S288C encoded near the ribosomal DNA region of chromosome 12; YLR159W has a paralog, YLR156W, that arose from a segmental duplication
S000031528	CDS					YLR159W		12	485345	485689	W	NA	2011-02-03	1996-07-31	
S000029710	rRNA		RDN5-5	RDN5-5	RDN5	chromosome 12		12	485697	485815	W	NA	2011-02-03	2004-03-04	Variant 5S ribosomal rRNA (5S rRNA) gene; located at a site distal to the RDN1 locus; unable to support cell viability when provided as sole source of 5S rRNA; identical in sequence to variant alleles RDN5-2, RDN5-3, and RDN5-4
S000036834	noncoding_exon					RDN5-5		12	485697	485815	W	NA	2011-02-03	2004-03-04	
S000028566	gene	Uncharacterized	YLR159C-A			chromosome 12		12	485842	485711	C	NA	2011-02-03	2003-07-29	Putative protein of unknown function; identified by fungal homology comparisons and RT-PCR; partially overlaps RND5-5; YLR159C-A has a paralog, YLR156C-A, that arose from a segmental duplication
S000031272	CDS					YLR159C-A		12	485842	485711	C	NA	2011-02-03	2003-07-29	
S000004150	gene	Verified	YLR160C	ASP3-4	asparaginase ASP3-4|ASP3	chromosome 12		12	487289	486201	C	NA	2011-02-03	1996-07-31	Cell-wall L-asparaginase II involved in asparagine catabolism; expression induced during nitrogen starvation; ORF contains a short non-coding RNA that enhances expression of full-length gene; likely arose in via horizontal gene transfer from the wine yeast Wickerhamomyces anomalus or a close relative; reference strain S288C has four copies of ASP3; ASP3-4 has a paralog, ASP3-2, that arose from a segmental duplication
S000031490	CDS					YLR160C		12	487289	486201	C	NA	2011-02-03	1996-07-31	
S000004151	gene	Uncharacterized	YLR161W			chromosome 12		12	488997	489341	W	NA	2011-02-03	1996-07-31	Putative protein of unknown function; YLR156W, YLR159W, and YLR161W are three identical open reading frames in S288C encoded near the ribosomal DNA region of chromosome 12; YLR161W has a paralog, YLR157W-D, that arose from a segmental duplication
S000031592	CDS					YLR161W		12	488997	489341	W	NA	2011-02-03	1996-07-31	
S000029711	rRNA		RDN5-6	RDN5-6	RDN5	chromosome 12		12	489349	489469	W	NA	2011-02-03	2004-03-04	Variant 5S ribosomal rRNA (5S rRNA) gene; located at a site distal to the RDN1 locus
S000036835	noncoding_exon					RDN5-6		12	489349	489469	W	NA	2011-02-03	2004-03-04	
S000004152	gene	Verified	YLR162W			chromosome 12		12	489573	489929	W	NA	2011-02-03	1996-07-31	Putative protein of unknown function; overexpression confers resistance to the antimicrobial peptide MiAMP1 and causes growth arrest, apoptosis, and increased sensitivity to cobalt chloride
